price,location,distance,amenities,ratings,type
2500,Chennai,,Room service Free parking Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,7.653960396039603,Deluxe Double Room with Bath
3600,Chennai,,Airport shuttle Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,8.3,Comfort Double
4770,"Sholinganallur, Chennai",,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Good breakfast,8.4,Studio Executive
2599,"South Chennai, Chennai",,Restaurant Free WiFi Free parking Non-smoking rooms 24-hour front desk Breakfast ,7.4,Deluxe Room
6396,"Central Chennai, Chennai",,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,8.2,Superior Room - Twin Beds
2530,"T - Nagar, Chennai",,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Good breakfast,8.0,Deluxe Room
6650,"Central Chennai, Chennai",,Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Very good breakfast,8.1,Standard King Bed Room With Free Wifi and 15% discount on food
2500,"T - Nagar, Chennai",,Airport shuttle Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Breakfast ,10.0,One-Bedroom Apartment
12500,"Guindy, Chennai",,3 swimming pools Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Very good breakfast,8.4,"Executive Club, Guest room, 1 Queen or 2 Twin/Single Bed(s)"
850,"Triplicane, Chennai",,Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk ,7.8,Double or Twin Room with Shared Bathroom
2599,"South Chennai, Chennai",,Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Superb breakfast,8.2,Deluxe Double Room
3572,"T - Nagar, Chennai",,Room service Restaurant Free WiFi Free parking Non-smoking rooms 24-hour front desk Good breakfast,8.0,Standard Double Room
1082,"Koyambedu, Chennai",,Free WiFi ,1.0,Classic Triple Room
5799,"Thiruvanmiyur, Chennai",,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Very good breakfast,7.8,Deluxe King or Twin Room
1250,"Central Chennai, Chennai",,Room service Free WiFi Family rooms ,7.5,Family Room
3655,"Central Chennai, Chennai",,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Tea/coffee maker in all rooms Good breakfast,8.4,Standard Double Room - No Windows
3239,"T - Nagar, Chennai",,Airport shuttle Free WiFi Free parking Non-smoking rooms Facilities for disabled guests 24-hour front desk Breakfast ,8.3,Family Room
895,"Thiruvanmiyur, Chennai",,Free WiFi Breakfast ,1.0,Classic Triple Room
9000,"South Chennai, Chennai",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Very good breakfast,8.8,Premium Room King
3499,"Thoraipakkam, Chennai",,Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Facilities for disabled guests Tea/coffee maker in all rooms Breakfast ,6.4,Superior Room
1307,"T - Nagar, Chennai",,,7.653960396039603,Deluxe Triple Room
7450,"Nungambakkam, Chennai",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service 4 restaurants (3 open) Free WiFi Free parking Bar Fabulous breakfast,8.6,Luxury Room with King Bed
3630,"Nungambakkam, Chennai",,Room service Free WiFi Free parking Non-smoking rooms 24-hour front desk ,8.7,Superior Double Room
1616,"T - Nagar, Chennai",,Free WiFi Non-smoking rooms Family rooms ,7.0,[Sanitized] Double Room
3400,"South Chennai, Chennai",,Free WiFi Free parking ,7.653960396039603,One-Bedroom Apartment
4770,"Sholinganallur, Chennai",,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Good breakfast,8.4,Studio Executive
3600,Chennai,,Airport shuttle Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,8.3,Comfort Double
2599,"South Chennai, Chennai",,Restaurant Free WiFi Free parking Non-smoking rooms 24-hour front desk Breakfast ,7.4,Deluxe Room
2500,Chennai,,Room service Free parking Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,7.653960396039603,Deluxe Double Room with Bath
6396,"Central Chennai, Chennai",,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,8.2,Superior Room - Twin Beds
2530,"T - Nagar, Chennai",,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Good breakfast,8.0,Deluxe Room
6650,"Central Chennai, Chennai",,Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Very good breakfast,8.1,Standard King Bed Room With Free Wifi and 15% discount on food
2500,"T - Nagar, Chennai",,Airport shuttle Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Breakfast ,10.0,One-Bedroom Apartment
3750,"Old Mahabalipuram Road, Chennai",,Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Facilities for disabled guests Tea/coffee maker in all rooms Good breakfast,7.9,Fairfield Twin Room
12500,"Guindy, Chennai",,3 swimming pools Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Very good breakfast,8.4,"Executive Club, Guest room, 1 Queen or 2 Twin/Single Bed(s)"
850,"Triplicane, Chennai",,Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk ,7.8,Double or Twin Room with Shared Bathroom
2830,"South Chennai, Chennai",,Airport shuttle (free) Room service Free WiFi Private parking Facilities for disabled guests Family rooms 24-hour front desk Breakfast ,8.2,Superior Double Room
2599,"South Chennai, Chennai",,Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Superb breakfast,8.2,Deluxe Double Room
5799,"Thiruvanmiyur, Chennai",,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Very good breakfast,7.8,Deluxe King or Twin Room
3655,"Central Chennai, Chennai",,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Tea/coffee maker in all rooms Good breakfast,8.4,Standard Double Room - No Windows
3239,"T - Nagar, Chennai",,Airport shuttle Free WiFi Free parking Non-smoking rooms Facilities for disabled guests 24-hour front desk Breakfast ,8.3,Family Room
1082,"Koyambedu, Chennai",,Free WiFi ,1.0,Classic Triple Room
9000,"South Chennai, Chennai",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Very good breakfast,8.8,Premium Room King
7450,"Nungambakkam, Chennai",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service 4 restaurants (3 open) Free WiFi Free parking Bar Fabulous breakfast,8.6,Luxury Room with King Bed
3630,"Nungambakkam, Chennai",,Room service Free WiFi Free parking Non-smoking rooms 24-hour front desk ,8.7,Superior Double Room
1386,Chennai,,,7.7,Classic Triple Room
1250,"Central Chennai, Chennai",,Room service Free WiFi Family rooms ,7.5,Family Room
